date,symbol,open,high,low,close,volume,adjclose
2022-06-08,RKT,8.649999618530273,8.869999885559082,8.369999885559082,8.600000381469727,2519100,8.600000381469727
2022-06-09,RKT,8.65999984741211,8.6899995803833,8.350000381469727,8.350000381469727,2010400,8.350000381469727
2022-06-10,RKT,8.199999809265137,8.25,7.885000228881836,7.900000095367432,2899300,7.900000095367432
2022-06-13,RKT,7.610000133514404,7.730000019073486,7.110000133514404,7.179999828338623,3432400,7.179999828338623
2022-06-14,RKT,7.21999979019165,7.21999979019165,6.909999847412109,7.0,3076100,7.0
2022-06-15,RKT,7.059999942779541,7.349999904632568,6.65500020980835,6.980000019073486,4855700,6.980000019073486
2022-06-16,RKT,6.849999904632568,6.920000076293945,6.394999980926514,6.53000020980835,4256700,6.53000020980835
2022-06-17,RKT,6.329999923706055,6.579999923706055,6.269000053405762,6.369999885559082,6641800,6.369999885559082
2022-06-21,RKT,6.510000228881836,6.822999954223633,6.440000057220459,6.78000020980835,5741900,6.78000020980835
2022-06-22,RKT,6.639999866485596,7.054999828338623,6.613999843597412,6.960000038146973,4525900,6.960000038146973
2022-06-23,RKT,7.079999923706055,7.429999828338623,6.980000019073486,7.409999847412109,3676200,7.409999847412109
2022-06-24,RKT,7.5,7.840000152587891,7.440000057220459,7.730000019073486,6176900,7.730000019073486
2022-06-27,RKT,7.78000020980835,7.928999900817871,7.614999771118164,7.659999847412109,2518400,7.659999847412109
2022-06-28,RKT,7.650000095367432,7.940000057220459,7.369999885559082,7.389999866485596,4141500,7.389999866485596
2022-06-29,RKT,7.329999923706055,7.369999885559082,7.079999923706055,7.230000019073486,2331600,7.230000019073486
2022-06-30,RKT,7.260000228881836,7.510000228881836,7.144999980926514,7.360000133514404,2296100,7.360000133514404
2022-07-01,RKT,7.369999885559082,7.78000020980835,7.364999771118164,7.610000133514404,2441900,7.610000133514404
2022-07-05,RKT,7.5,8.125,7.46999979019165,8.050000190734863,4020100,8.050000190734863
2022-07-06,RKT,8.680000305175781,9.109999656677246,8.359999656677246,8.40999984741211,9446000,8.40999984741211
2022-07-07,RKT,8.600000381469727,8.760000228881836,8.529999732971191,8.75,2926000,8.75
